RecordId,FirstName,LastName,Sex,BirthDate,SocialSecurityNumber,PostalCode,Department,VisitReason
a1637ee4-bc96-41fb-8540-948ff250e64b,Sif,Storm,Female,1963-11-21,195-38-3567,10991,Emergency Department,Villain Encounter Trauma
1c313cb3-e2fa-4cf7-8f8b-f350c36684a2,Alicia,Lewis,Male,1978-02-19,059-07-9572,10488,Trauma Center,Power Malfunction
554203ed-92f2-4066-a28c-355d1d116c57,Luis,Jordan,Male,1956-02-24,610-09-3854,10413,Intensive Care Unit,Villain Encounter Trauma
a25b4b12-e7ca-4107-a6d8-629b643cea17,Clint,Rhodes,Male,2005-07-26,084-54-9563,10578,Mutation Specialist Unit,Flight Control Issue
1c06ddc2-478f-45bd-b893-9b926cd56ef2,Jessica,Dillon,Female,1971-06-01,272-51-2145,10687,Super Powers Rehabilitation,Routine Super Physical
07b97c92-b78d-4703-b9b2-d941b5d73eff,Stephen,Khan,Male,1950-11-02,470-80-9225,10102,Intensive Care Unit,Battle Injury
f142a5cd-ad37-496f-90ba-63975d16f272,Luke,Lang,Female,1961-11-19,358-09-4003,10378,Super Powers Rehabilitation,Alien Parasite Removal
861a5857-2590-47be-8769-d54ee10a9c8b,Nick,Lewis,Female,2004-11-16,828-84-8667,10008,Super Powers Rehabilitation,Cosmic Ray Exposure
15bf89ff-a86c-41de-85ab-18883e259dfb,Logan,Maximoff,Male,1959-08-09,762-71-2547,10278,Super Powers Rehabilitation,Villain Encounter Trauma
02974707-a7e1-4861-a940-110ff9b54803,Jessica,Grimm,Female,1968-04-07,705-82-4326,10517,Alien Biology Department,Flight Control Issue
780d63af-fdc1-4934-ba4a-d5edc194d087,Natasha,Queen,Female,1974-10-28,046-01-5465,10789,Trauma Center,Flight Control Issue
da25948d-4d16-4683-acea-3ae79afbcf10,Ororo,Masters,Female,1999-06-30,724-55-9190,10009,Intensive Care Unit,Cosmic Ray Exposure
f5936735-5c71-454c-8f9f-2753596c313c,Reed,Grey,Male,1983-02-15,597-71-2427,10440,Trauma Center,Power Malfunction
e110956c-e5d2-4670-a64b-4a2fb5e7787a,Shuri,Mantis,Male,1982-02-06,216-88-4089,10682,Intensive Care Unit,Telepathy Headache
c8f7079d-c723-4bfc-9d57-4ea07e4a9db3,Nakia,Foster,Female,2005-09-06,769-20-3879,10885,Trauma Center,Alien Parasite Removal
19189682-d343-4445-91b3-5beb2046d3d9,Frigga,Parker,Male,1979-10-21,803-53-4066,10273,Trauma Center,Cosmic Ray Exposure
501dfe0a-5ca9-4180-93dd-73b140ec4ef1,Thanos,Stark,Female,1969-12-15,205-59-5729,10312,Surgery Department,Strength Enhancement Surgery
9cbfa287-9c93-4255-8946-aade23dd72ca,Peter,Connors,Male,1985-09-30,337-36-1138,10990,Super Powers Rehabilitation,Telepathy Headache
554cb660-b924-4c27-890a-f43b457ab5df,Norman,Luis,Female,1998-02-08,340-04-1890,10898,Super Powers Rehabilitation,Alien Parasite Removal
e445e9e4-d922-4e25-90f5-0fe3b9281e62,Rhodey,Maximoff,Male,1959-09-23,611-56-5664,10746,Mutation Specialist Unit,Laser Vision Calibration
a28ee080-8616-4118-8590-22405e28d5c9,MJ,Luis,Male,1984-07-23,591-25-4174,10045,Cosmic Ray Treatment Center,Power Malfunction
0c260e13-e51f-469e-b5be-b8e6920b9d5a,Dave,Hillman,Male,1982-09-04,442-09-5410,10638,Mutation Specialist Unit,Cosmic Ray Exposure
b8367157-45b9-4e5a-a852-3f9afcf0b1b7,Franklin,T'Challa,Female,1986-08-22,335-52-4845,10567,Trauma Center,Strength Enhancement Surgery
165a5110-e1e0-4e0a-b21b-4c453a22bab5,Heimdall,Dillon,Female,1965-08-12,631-73-4931,10415,Emergency Department,Flight Control Issue
a5de0db4-6758-4335-a53c-628c625ec335,Sam,Jones,Female,2002-01-12,622-84-5280,10476,Alien Biology Department,Routine Super Physical
7df86a7e-27ce-4fa4-ad89-c85fd7b5b162,Eddie,Cage,Female,1965-03-23,676-11-4650,10527,Mutation Specialist Unit,Cosmic Ray Exposure
537c3850-71af-4f0f-b8e5-c4da6ba1879e,Kamala,Castle,Female,1970-02-26,827-26-2415,10025,Emergency Department,Strength Enhancement Surgery
5e0ac030-d0db-41f9-b273-fd3ed560914e,Howard,Thompson,Male,1990-11-10,425-81-9432,10199,Cosmic Ray Treatment Center,Routine Super Physical
5b2e8a6d-1b35-404b-98c9-af3cb24dd3df,Odin,Barton,Male,1950-07-01,770-99-1747,10797,Cosmic Ray Treatment Center,Strength Enhancement Surgery
4f9c0e59-ea88-4dea-b856-1adfb1f7d673,Hank,Khan,Female,1954-07-04,571-32-1989,10467,Trauma Center,Routine Super Physical
35f94b24-1551-4fcd-a6e0-6e8e78f2ee84,Max,Kurt,Female,1989-09-15,628-93-8271,10436,Alien Biology Department,Alien Parasite Removal
a18a9c7b-c660-4bb6-a092-8473f128f0cb,Wyatt,Stark,Female,1973-04-03,771-32-4544,10784,Alien Biology Department,Strength Enhancement Surgery
da20484b-d9f2-43fc-8719-79d55e01eb23,Rhodey,Fury,Male,1975-08-20,241-35-5503,10327,Intensive Care Unit,Alien Parasite Removal
d33c448f-5830-4123-8e01-9876b730c685,Jean,Murdock,Female,1963-09-17,725-28-1053,10424,Cosmic Ray Treatment Center,Telepathy Headache
cb7ba8fe-fea1-4c1b-a5ef-bd2c67d3934b,Darcy,Carter,Female,1955-08-03,212-54-6382,10926,Emergency Department,Villain Encounter Trauma
d6233665-ebfb-413d-ae9a-2f13612b5f12,Thanos,Pym,Male,1981-07-23,306-97-6390,10873,Cosmic Ray Treatment Center,Battle Injury
956ef70b-b041-4193-98db-be8d00cc2a24,Wyatt,Masters,Male,1993-10-20,225-35-7141,10497,Emergency Department,Laser Vision Calibration
c1af0bfb-9c7e-4c6d-b26f-1072b1b50051,Rocket,Dillon,Female,1964-10-22,862-60-2092,10637,Emergency Department,Laser Vision Calibration
286e25c3-688b-4ed5-a5d6-9df01f5c29e3,May,Potts,Male,1957-07-13,659-55-2224,10887,Alien Biology Department,Alien Parasite Removal
af499df9-200f-4637-843c-09c770f0eea9,Natasha,Maximoff,Female,1979-05-15,217-59-5356,10345,Cosmic Ray Treatment Center,Flight Control Issue
c959e793-9552-49a7-96f3-8b3231355428,Kamala,Heimdall,Female,1957-05-07,482-03-8838,10053,Mutation Specialist Unit,Strength Enhancement Surgery
baefb9c7-b333-4e9f-a9a1-c70c358b89ed,Otto,Banner,Male,1952-10-13,254-26-0334,10636,Trauma Center,Strength Enhancement Surgery
8119a61f-124a-49eb-a59a-fba45b9a819b,Wade,Stark,Male,2000-08-06,224-60-4199,10785,Mutation Specialist Unit,Alien Parasite Removal
43eb75ba-7fc4-47ef-a33d-7f09a596098e,MJ,Watson,Male,1964-09-10,319-14-9482,10026,Super Powers Rehabilitation,Villain Encounter Trauma
c2ff321c-ed60-46ab-b112-d16ae2a1dae1,Eddie,Titan,Female,1967-10-17,078-76-3979,10104,Super Powers Rehabilitation,Villain Encounter Trauma
83a94b7c-a660-4872-a513-1f37b066bdc5,Tyesha,Gordon,Male,1981-02-24,546-55-6072,10070,Mutation Specialist Unit,Power Malfunction
9a24ff05-4ced-424b-b4d3-b0f644a9b97a,Heimdall,VanDyne,Male,1988-11-22,371-82-7533,10724,Trauma Center,Laser Vision Calibration
569da281-bdbc-4fe0-b469-c505600ae96f,Hank,Richards,Female,2005-04-04,829-69-7922,10476,Cosmic Ray Treatment Center,Villain Encounter Trauma
2923b630-c221-4b13-b948-4e2ac2b3e62c,Vision,Wong,Male,1957-10-10,286-58-3996,10768,Alien Biology Department,Villain Encounter Trauma
a59802b6-4ab6-45dc-a92d-1bb77f11d5b6,Flash,Dillon,Female,1980-03-07,030-64-5326,10186,Alien Biology Department,Strength Enhancement Surgery
064f62eb-cd4e-425b-a9d7-89a14b802346,Drax,Khan,Female,1980-07-14,287-77-4527,10569,Emergency Department,Battle Injury
89c02c4a-816f-4b86-86f6-c33073a9b2e4,Carol,Jordan,Male,1986-06-18,501-72-3938,10707,Alien Biology Department,Routine Super Physical
ec9c2618-a740-481b-be5e-c9af91fdd33d,Maria,Khan,Male,1958-05-08,302-29-6626,10708,Surgery Department,Flight Control Issue
48d428e7-66d6-4fd6-b6bd-c02a957abd94,Curt,Rhodes,Female,1992-06-16,567-68-5633,10435,Mutation Specialist Unit,Telepathy Headache
f1f36315-feb7-49e0-8229-fe2ae56317c8,Sue,Coulson,Female,1977-07-05,258-30-1977,10738,Surgery Department,Telepathy Headache
ae996f86-d842-42c6-8b13-171f7ab91203,Barbara,Wingfoot,Male,1967-03-09,222-95-7934,10283,Super Powers Rehabilitation,Cosmic Ray Exposure
3464cfa6-54b2-46ac-bb33-d005e42951ba,Carol,Barnes,Male,1982-05-18,184-39-0232,10725,Trauma Center,Flight Control Issue
5d4b110f-c617-49e7-a993-6f1204e972fa,Steve,Romanoff,Female,1961-04-30,654-97-8043,10105,Emergency Department,Villain Encounter Trauma
d0f191d6-63ca-4a5b-b439-0e11ccb30707,Sam,Stark,Female,1989-07-08,349-24-0842,10258,Alien Biology Department,Cosmic Ray Exposure
80c58c04-16dd-474d-9d24-fcc4e25a8cb7,Bruce,Borson,Female,1956-08-24,591-81-0879,10155,Trauma Center,Villain Encounter Trauma
5ba11ace-7176-4e78-854d-f4a34821a448,T'Challa,Jordan,Male,1960-08-17,572-98-6819,10620,Surgery Department,Battle Injury
c12b1ff4-e023-44c9-8846-5d47ef01d17f,Thanos,Hill,Female,1976-09-04,882-76-7026,10312,Emergency Department,Villain Encounter Trauma
93088921-598a-4dc9-8782-35e734f8d3a4,Alicia,Curry,Male,2006-02-12,217-34-1331,10160,Surgery Department,Alien Parasite Removal
4aa2b3eb-4548-4e0a-95d2-090b968b5790,Erik,Allen,Male,1950-03-29,419-58-9730,10481,Super Powers Rehabilitation,Power Malfunction
2a0717d8-2f1c-46cb-aac2-c6a995bdc917,Matt,Wilson,Female,1990-09-25,073-88-3825,10946,Super Powers Rehabilitation,Villain Encounter Trauma
a9f87ad6-15fd-4aae-9c9d-d80e284dc390,Curt,Khan,Male,1988-02-21,118-70-3684,10663,Trauma Center,Flight Control Issue
d36365ba-88dc-4528-8f7f-00355f5ce854,Scott,Allen,Male,1964-11-19,813-40-9750,10766,Super Powers Rehabilitation,Routine Super Physical
d89ab29c-aa16-4255-b465-ddf00b695299,Barbara,Carter,Female,1986-02-10,279-65-8848,10505,Alien Biology Department,Cosmic Ray Exposure
351794aa-83cb-48de-add4-db3aaaf3c5b1,Ned,Rogers,Female,1978-12-01,619-33-0424,10093,Surgery Department,Villain Encounter Trauma
3de4f789-2a7b-4204-b6fc-22374cdcf0c1,May,Prince,Female,2001-09-12,042-98-2871,10481,Alien Biology Department,Flight Control Issue
65cb488d-a2b3-411d-8ee3-7ba4cd6b0d03,Bobby,Rhodes,Female,2006-12-13,835-63-1495,10481,Mutation Specialist Unit,Laser Vision Calibration
