RecordId,BirthDate,FirstName,LastName,PostalCode,Sex,SocialSecurityNumber
831ed6fc-d12c-4ace-bc90-d458f8608ec0,2000-04-30,Jennifer,Smith,36974,Male,850-81-5851
3f503b13-4a6d-44d9-8af8-0118a45acad5,2004-05-24,Maria,Chen,08974,Male,785-47-8825
7fb2d54c-adb8-4122-9f33-133e9b3728d8,1935-11-09,Angela,Kelly,11876,Female,852-05-9721
13801235-285c-4ba4-be31-c2c03fe3c6b0,1993-08-03,Brittany,Ritter,51022,Female,108-52-2979
1e267fa0-faf4-444e-b709-9a58efff9a20,1991-04-20,John,Holmes,48294,Male,637-38-5202
93cdca36-984b-4d71-956a-fe89b1f301c1,2020-01-13,Matthew,Valdez,24604,m,195-65-6605
950139fe-d447-4ddd-a142-1a3e55f0d23d,1986-02-28,Chris,Delacruz,09895,Male,111-11-1111
f4785849-33aa-4aef-8020-bf8acf4e4ba8,1998-10-14,Larry,Mathis,13321,Female,260-62-6522
5422af34-930e-4773-98bc-9f2e105332f4,1957-04-05,Lisa,Lamb,16543,Male,686567127
6c41c68e-0230-44cb-8a4b-f7c8d7752416,1963-09-02,April,Nguyen,46931,Female,127-33-6746
2f829479-63b1-4f87-8a48-7a97e03885f8,1988-04-23,Kristen,Berry,98616,Male,463-59-8053
3f324369-9df0-4376-8ba1-a8396d63867e,1961-12-20,Brian,Howell,37913,female,776-22-2464
71d65140-9e6d-4d56-9263-91aa7814c3ed,1971-04-01,Jacqueline,Mathews,80245,Male,467-90-8493
8c0a388e-61e2-43e6-a255-f7956f6cac47,2050-09-22,Stephanie,Parker,68817,Female,577-89-7731
ca1234e5-f678-9abc-def0-123456789012,1985-03-15,Sarah,MacDonald,K1B 2,Female,123-45-6789
ca2345e6-f789-0bcd-ef12-345678901234,1992-07-22,John,Thompson,M5V 3L,Male,234-56-7890
ca3456e7-f890-1cde-f234-567890123456,1988-11-08,Marie,Tremblay,H3Z,Female,345-67-8901
ca4567e8-f901-2def-3456-789012345678,1995-05-30,David,Singh,t2x1v4,Male,456-78-9012
